# Day,Lon,Lat,Altitude[m],NO,acd_NO,NO2,acd_NO2,O3,acd_O3,FORM,toga_CH2O,HNO3,zhou_HNO3,ISOP,ptrms_isoprene,MEOH,toga_Methanol,MEOH,ptrms_methanol,ALD2,toga_Acetaldehyde,ALD2,ptrms_acetaldehyde,ACET,toga_Acetone,BENZ,toga_Benzene,PRPA,toga_Propane,TERP,ptrms_sum_of_monoterpenes,ISPD+HPLD,ptrms_MVK_MACR
20130603,-87.35194,35.87868,4576.307,0.012,-999.000,0.009,69.675,53.235,107.376,0.140,653.000,0.043,-999.000,0.000,0.316,0.541,1341.000,0.541,-999.000,0.011,109.000,0.011,-999.000,0.470,1129.000,0.000,12.240,0.100,253.000,0.000,-999.000,0.000,-999.000
20130603,-87.41607,35.84359,4574.317,0.011,-999.000,0.009,65.168,51.302,109.374,0.139,653.000,0.037,-999.000,0.000,0.249,0.522,1341.000,0.522,-999.000,0.010,109.000,0.010,-999.000,0.462,1129.000,0.000,12.240,0.100,253.000,0.000,-999.000,0.000,-999.000
20130603,-87.45087,35.78920,4575.837,0.011,-999.000,0.009,65.844,50.268,110.402,0.140,614.000,0.034,-999.000,0.000,0.267,0.500,1378.000,0.500,-999.000,0.009,105.400,0.009,-999.000,0.449,1110.000,0.000,12.160,0.100,250.000,0.000,-999.000,0.000,-999.000
20130603,-87.45679,35.72420,4577.292,0.011,-999.000,0.009,64.387,50.268,110.394,0.140,614.000,0.034,-999.000,0.000,0.176,0.500,1378.000,0.500,-999.000,0.009,105.400,0.009,-999.000,0.449,1110.000,0.000,12.160,0.100,250.000,0.000,-999.000,0.000,-999.000
20130603,-87.46004,35.65816,4577.326,0.011,-999.000,0.009,66.044,48.877,110.834,0.139,-999.000,0.031,-999.000,0.000,-999.000,0.477,-999.000,0.477,-999.000,0.009,-999.000,0.009,-999.000,0.435,-999.000,0.000,-999.000,0.100,-999.000,0.000,-999.000,0.000,-999.000
20130603,-87.46322,35.59231,4576.984,0.011,-999.000,0.009,63.611,48.877,110.521,0.139,-999.000,0.031,-999.000,0.000,-999.000,0.477,-999.000,0.477,-999.000,0.009,-999.000,0.009,-999.000,0.435,-999.000,0.000,-999.000,0.100,-999.000,0.000,-999.000,0.000,-999.000
20130603,-87.46630,35.52658,4577.376,0.011,-999.000,0.009,60.007,47.698,111.348,0.139,-999.000,0.030,-999.000,0.000,0.271,0.454,-999.000,0.454,-999.000,0.008,-999.000,0.008,-999.000,0.422,-999.000,0.000,-999.000,0.100,-999.000,0.000,-999.000,0.000,-999.000
20130603,-87.46874,35.46076,4573.125,0.011,-999.000,0.009,58.444,46.635,112.034,0.139,-999.000,0.028,-999.000,0.000,0.255,0.431,-999.000,0.431,-999.000,0.007,-999.000,0.007,-999.000,0.409,-999.000,0.000,-999.000,0.100,-999.000,0.000,-999.000,0.000,-999.000
20130603,-87.47207,35.39488,4574.150,0.011,-999.000,0.009,53.502,46.635,109.741,0.139,575.000,0.028,-999.000,0.000,0.257,0.431,1437.000,0.431,-999.000,0.007,130.200,0.007,-999.000,0.409,1162.000,0.000,12.710,0.100,282.000,0.000,-999.000,0.000,-999.000
20130603,-87.47538,35.32922,4575.482,0.011,-999.000,0.009,51.287,45.690,107.836,0.139,575.000,0.027,-999.000,0.000,0.246,0.407,1437.000,0.407,-999.000,0.007,130.200,0.007,-999.000,0.396,1162.000,0.000,12.710,0.100,282.000,0.000,-999.000,0.000,-999.000
